1,101,5.0
1,102,3.0
1,103,2.5
1,104,4.0
1,105,3.5
2,101,2.0
2,102,2.5
2,103,5.0
2,104,3.0
2,106,4.0
3,101,2.5
3,104,4.5
3,105,3.0
3,107,5.0
4,105,4.0
4,106,3.0
4,107,4.5
4,108,2.5
5,101,4.0
5,102,3.5
5,103,2.0
5,108,4.0
5,109,3.5
6,101,3.0
6,103,4.5
6,104,2.0
6,107,5.0
6,109,3.0
7,102,5.0
7,105,3.0
7,108,4.5
7,109,2.5
8,101,3.5
8,102,2.0
8,103,4.0
8,104,5.0
8,108,3.5
9,105,4.5
9,106,3.0
9,107,4.0
9,109,5.0
10,102,3.0
10,103,4.5
10,105,2.5
10,107,4.0
10,108,3.5
